name,id,fid,runtime,cast,genre,country_codes,language_codes,certificates,Budget,OWUS,CWG,rating,votes,original_air_date,title,director,writer1,writer2,producer1,producer2,production_company1,production_company2,composers,editors,cinematographers,set_decorators,assistant_directors,visual_effects
Light,tt1736026,1736026.0,88,"['Danny Rawley', 'Keegan Shayne', 'Mitchell Jacobs', 'Christian Kilian', 'Johnny Agront', 'Stu Alexander', 'Anthony Alheol', 'Julie Arnesman', 'Marcella Avila', 'Rob Beauchesne', 'Carrie Belluso', 'Michael Bey', 'Seth Billig', 'Emily Bonne', 'Michael K. Brock', 'Kristin Marie Callahan', 'Teresa Cobb', 'Deborah Smith Ford', 'Sophie Gattie', 'Shawn Genther', 'Luis Hernandez', 'Nate Huffman', 'Adrian Kilian', 'Joey Lane', 'Gabriella Lennep', 'Kirsten Marshall', 'Rick Michaels', 'Taylor Nemetz', 'John Nicolette', 'Christina Pause', 'Lew Phillips', 'Al Quinn', 'Susan Rawley', 'Allyssa Richardson', 'Paul A Rose Jr.', 'Steven Ruiz', 'Jenny Sonneman', 'Corey Stockbridge', 'Angela Torre', 'Luke Turner', 'Timothy Ullio', 'Dick Westlake', 'Caleb Williams', 'Jacob Wisher', 'Kaley Ann Wisher', 'Marty Wisher']","['Adventure', 'Fantasy', 'Sci-Fi']",['us'],['en'],,,,,6.7,27.0,,Light,Marty Wisher,Timothy Gunderman,,Teresa Cobb,Timothy Gunderman,Starlight Productions,,Guy Noegel,Timothy Gunderman,Timothy Gunderman,Teresa Cobb,,Timothy Gunderman
The Empty Man,tt1717703,1717703.0,57,,['Drama'],['us'],['en'],,,,,,,,The Empty Man,Jeff Edmond,,,,,,,,,,,,
Charlie,tt1792041,1792041.0,8,"['Anthony Marquez', 'Andrew J. Mosely', 'Mikayla Park']","['Short', 'Comedy', 'Romance']",['us'],,,400.0,,,,,,Charlie,Dimitri Morantus,Dimitri Morantus,,P. Clarence Howard,Angelina Mendez,Morantus Entertainment,,,Dimitri Morantus,Will Turner,,,
U,tt1621040,1621040.0,10,,"['Documentary', 'Short', 'News']",['us'],['en'],,,,,,,Feb 2010 (USA),U,Sarah Del Seronde,,,Jacques Seronde,Sarah Del Seronde,,,,Sarah Del Seronde,Jake Hoyungowa,,,
Chance,tt1992105,1992105.0,85,"['Terrance Bartley', 'Akin Chinnery', 'Ashley Wilkerson', 'Lynn Joseph Porter', 'Mark Owens', 'Karen Korsgren', 'Brittany Owens', 'Tyre Porter', ""Sha'rik Morgan"", 'Ashley Wilkerson']","['Crime', 'Drama', 'Thriller']",['us'],['en'],,,,,,,,Chance,Evan Kaufmann,Mark Owens,,Evan Kaufmann,Katie Kaufmann,,,,Evan Kaufmann,Cameron Schmucker,,,
Sleeping Beauty,tt1588398,1588398.0,101,"['Bridgette Barrett', 'Rachael Blake', 'Hannah Bella Bowden', 'Emily Browning', 'Alan Cardy', 'Peter Carroll', 'Les Chantery', 'Benita Collings', 'Michael Dorman', 'Eden Falk', 'Anni Finsterer', 'Mirrah Foulkes', 'James Fraser', 'Robin Goldsworthy', 'Vernon Hayman', 'Chris Haywood', 'Paul W. He', 'Hugh Keays-Byrne', 'Amit Kelkar', 'Sarah Kinsella', 'Ewen Leslie', 'Tammy Macintosh', 'Ivy Mak', 'Tracy Mann', 'Stephanie Menere', 'Henry Nixon', 'Lauren Orrell', 'Nathan Page', 'Kelly Paterniti', 'Lizzie Schebesta', 'Natalia Siwek', 'Justin Smith', 'Sarah Snook', 'Pearl Tan', 'Jamie Timony', 'Joel Tobeck', 'Sonny Vrebac', 'Hannah Wang', 'Daniel Webber', 'Matthew Whittet', 'Oscar Cavagnola', 'Ryuji Kunii']","['Drama', 'Romance', 'Thriller']",['au'],['en'],Not Rated,,,435468.0,5.3,29762.0,23 Jun 2011 (Australia),Sleeping Beauty,Julia Leigh,Yasunari Kawabata,,Jessica Brentnall,Sasha Burrows,Screen Australia,Magic Films,Ben Frost,Nick Meyers,Geoffrey Simpson,Lisa Thompson,Jesse Allan,Simon Alberry
Hanna,tt0993842,993842.0,111,"['Saoirse Ronan', 'Eric Bana', 'Vicky Krieps', 'Cate Blanchett', 'Paris Arrowsmith', 'John Macmillan', 'Tim Beckmann', 'Paul Birchard', 'Christian Malcolm', 'Jamie Beamish', 'Tom Hodgkins', 'Vincent Montuel', 'Nathan Nolan', 'Michelle Dockery', 'Jessica Barden', 'Aldo Maland', 'Olivia Williams', 'Jason Flemyng', 'Mohamed Majd', 'Tom Hollander', 'Sebastian Hülk', 'Joel Basman', 'Mathias Harrebye-Brandt', 'Álvaro Cervantes', 'Marc Soto', 'Gudrun Ritter', 'Martin Wuttke', 'Rose Wakesho', 'Martin Goeres', 'Timo Honsa', 'Kevin Krow', 'Alister Mazzotti']","['Action', 'Drama', 'Thriller']","['us', 'gb', 'de']","['en', 'fr', 'de', 'it', 'ar', 'es']",PG-13,30000000.0,"$12,370,549, 10 Apr 2011",,6.8,181753.0,07 Apr 2011 (Aruba),Hanna,Joe Wright,Seth Lochhead,David Farr,Marty Adelstein,Zakaria Alaoui,Focus Features,Holleran Company,Tom Rowlands,Paul Tothill,Alwin H. Küchler,Katie Spencer,Mohamed Essaghir Aabach,Greg Astles
Cowboys,tt2586626,2586626.0,5,"['Andrew Moeggenberg', 'Joe Morell', 'Cassie Pence']",['Short'],['us'],['en'],,,,,,,31 Dec 2011 (USA),Cowboys,Justin Hines,Justin Hines,,Justin Hines,,,,Mitchell Hines,Justin Hines,,,,
The Three Musketeers,tt1509767,1509767.0,110,"['Matthew Macfadyen', 'Milla Jovovich', 'Helen George', 'Christian Oliver', 'Luke Evans', 'Ray Stevenson', 'Til Schweiger', 'Markus Brandl', 'Orlando Bloom', 'Logan Lerman', 'Dexter Fletcher', 'Jane Perry', 'Mads Mikkelsen', 'Andy Gathergood', 'Susanne Wolff', 'Ben Moor', 'Christoph Waltz', 'Freddie Fox', 'Carsten Norgaard', 'Isaiah Michalski', 'Horst Kiss', 'Gudrun Meincke', 'Victoria Koestler', 'Yvonne Pajonkowski', 'Gabriella Wilde', 'James Corden', 'Juno Temple', 'Nina Eichinger', 'Max Cane', 'Iain McKee', 'Gode Benedix', 'Hannes Wegener', 'Florian Brückner', 'Nadine Merkl', 'Marc Zahn']","['Action', 'Adventure', 'History', 'Romance', 'Thriller']","['us', 'de', 'fr', 'gb']",['en'],PG-13,75000000.0,"$8,674,452, 23 Oct 2011",132274484.0,5.7,99559.0,01 Sep 2011 (Austria),The Three Musketeers,Paul W.S. Anderson,Alex Litvak,Andrew Davies,Paul W.S. Anderson,Jeremy Bolt,Summit Entertainment,Constantin Film,Paul Haslinger,Alexander Berner,Glen MacPherson,Philippe Turlure,Jamie Christopher,Keith Acheson
The Thing,tt0905372,905372.0,103,"['Mary Elizabeth Winstead', 'Joel Edgerton', 'Ulrich Thomsen', 'Eric Christian Olsen', 'Adewale Akinnuoye-Agbaje', 'Paul Braunstein', 'Trond Espen Seim', 'Kim Bubbs', 'Jørgen Langhelle', 'Jan Gunnar Røise', 'Stig Henrik Hoff', 'Kristofer Hivju', 'Jo Adrian Haavind', 'Carsten Bjørnlund', 'Jonathan Walker', 'Ole Martin Aune Nilsen', 'Michael Brown']","['Horror', 'Mystery', 'Sci-Fi']","['us', 'ca']","['en', 'no', 'da']",R,38000000.0,"$8,493,665, 16 Oct 2011",31505287.0,6.2,114199.0,12 Oct 2011 (France),The Thing,Matthijs van Heijningen Jr.,Eric Heisserer,,Marc Abraham,J. Miles Dale,Morgan Creek Entertainment,Universal Pictures,Marco Beltrami,Peter Boyle,Michel Abramowicz,Odetta Stoddard,Jeff J.J. Authors,Keith Acheson
Footloose,tt1068242,1068242.0,113,"['Kenny Wormald', 'Julianne Hough', 'Dennis Quaid', 'Andie MacDowell', 'Miles Teller', 'Ray McKinnon', 'Patrick John Flueger', 'Kim Dickens', 'Ziah Colon', ""Ser'Darius Blain"", 'L. Warren Young', 'Brett Rice', 'Maggie Elizabeth Jones', 'Mary-Charles Jones', 'Enisha Brewster', 'Josh Warren', 'Corey Flaspoehler', 'Anessa Ramsey', 'Jason Ferguson', 'Frank Hoyt Taylor', 'Jayson Warner Smith', 'Claude Phillips', 'Clay Chappell', 'Tony Vaughn', 'Staley Colvert', 'Daniel Burnley', 'Jack Davidson', 'Alisa Riggs', 'Tracy Goode', 'Clayton Landey', 'John Still', 'Brian F. Durkin', 'Amber Brooke', 'Sandra Ellis Lafferty', 'D. Dylan Schettina', 'Blair Jasin', 'Jasmine Cook', 'Reece Thomas', 'Ivey Lowe', 'Anna Marie Dobbins', 'Kevin Renard Fisher', 'Andrew Ruark', 'Travis Young', 'Jamal Sims', 'Kyle Wayne Cordova', 'Skyh Black', 'Madison Benson', 'Jonathan Sylvan Carey', 'Craig Brewer', 'Bubba Carr', 'Sora Connor', 'Kasey Davage', 'Chynna Dulac', 'Brett Frost', 'Trey Greene', 'Ashlyn Henson', 'Cicely Kelley', 'Elysandra Quinones', 'Brandon Sauve', 'Allan Skeene Jr.', 'Kat Slatery', 'Amanda Topper', 'Jasmine Badie', 'Sean Bankhead', 'Terence Dickson', 'Kiara Nicole Ely', 'Comfort Fedoke', 'Hannah Huddleston', 'Stephen Stevo Jones', 'JaQuel Knight', 'Tamara Levinson', 'Ron Myles', 'Britney Chelene Thomas', 'Christopher Toler', 'Nancy Anderson', 'Kendra Andrews', 'Jeffery Scott Bailey', 'Liana Blackburn', 'Brent L. Boxberger', 'Taylor Bradley', 'Kelley Bradshaw', 'Claire Callaway', 'Robert Chabott', 'C. Ryan Chandler', 'Amanda Davisson', 'Troy Dela Rosa', 'Hannah Douglass', 'Danella Dutton', 'Aisha Jamila Francis', 'Jonathan Fritschi', 'Larke Hasstedt', 'Joey Hernandez', 'Katherine Hough', 'Jeremy Hudson', 'Dacia James', 'George Jones Jr.', 'William Ladd', 'Meryl Lester', 'Kat Levy', 'Megan Mackey', 'Michelle Maniscalco', 'Brian Mason', 'Michael McDonough', 'Dennis McKinnie', 'Keltie Knight', 'Marriann Nelson', 'Brent Ours', 'Jamie Overla', 'Marabeth Poole', 'Harrison Jonathan Prater', 'Melissa Rummels', 'Monique Slaughter', 'Lisa Marie Thomas', 'Gissette Valentin', 'Tyler Duncan Wall', 'Quincy Lamar Wills', 'Sharee Wise', 'Joshua Allen', 'Tucker Barkley', 'Bianca Brewton', 'Whitney Brown', 'Bboy Kid David', 'Justin Michael De Vera', 'Mike Dizon', 'Laura Edwards', 'Christina Glur', 'Cory Graves', 'Misha Hamilton', 'Dayna Michaelle Harris', 'Ivan Koumaev', 'Nick Lanzisera', 'Matthew Laraway', 'Spencer Liff', 'Ahrielle Mace', 'Candace Maxwell', 'Glenda Morales', 'Abbye Myers', 'Christian Owens', 'Kayla Radomski', 'Luis Rosado', 'Carson Marie Seeley', 'Dakota Smith', 'Brittny Sugarman', 'Melanie Ullmann', 'Miguel Angel Zarate', 'Madison Grace Ballard', 'Marvel Bell', 'Aisha Bryant', 'Allison Bryant', 'Kalev Carrow', 'Benjamin Taylor Davis', 'Autumn Dial', 'Carlos V. Flores', 'Patricia French', 'Allison Holker', 'Andrew Huckaby', 'Jessie Jalee', 'Matthew Lyda', 'Carmen Matheny', 'Justin Melick', 'Ariana Neal', 'Darrell Rackley', 'Tammy Rackley', 'Timothy J. Richardson', 'Megyn Shott', 'Tom Stedham', 'Steve Toney', 'Katylynn Wright']","['Comedy', 'Drama', 'Music', 'Romance']",['us'],['en'],PG-13,24000000.0,"$15,556,113, 16 Oct 2011",63543328.0,5.9,44079.0,06 Oct 2011 (Australia),Footloose,Craig Brewer,Dean Pitchford,Craig Brewer,Gary Barber,Roger Birnbaum,Paramount Pictures,Spyglass Entertainment,Deborah Lurie,Billy Fox,Amy Vincent,Dena Roth,G.A. Aguilar,Jamie Baxter
Season of the Witch,tt0479997,479997.0,95,"['Nicolas Cage', 'Ron Perlman', 'Stephen Campbell Moore', 'Stephen Graham', 'Ulrich Thomsen', 'Claire Foy', 'Robert Sheehan', 'Christopher Lee', 'Kevin Rees', 'Andrew Hefler', 'Fernanda Dorogi', 'Rebekah Kennedy', 'Matt Devere', 'Róbert Bánlaki', 'Barna Illyés', 'Kevin Killebrew', 'Simone Kirby', 'Elen Rhys', 'Nicholas Sidi', 'Rory McCann', 'Nicola Sloane', 'Ada Michelle Loridans', 'Lisa Marie Dupree', 'Gergö Horpácsi', 'László Imre', 'Norbert Kovács', 'Zsolt Viktor Magyari', 'Kirk Jordan', ""Brían F. O'Byrne""]","['Action', 'Adventure', 'Fantasy']",['us'],"['en', 'la']",PG-13,40000000.0,"$10,612,375, 09 Jan 2011",91627228.0,5.4,87131.0,05 Jan 2011 (Kazakhstan),Season of the Witch,Dominic Sena,Bragi F. Schut,,Steve Alexander,Gloria Fan,Atlas Entertainment,Relativity Media,Atli Örvarsson,Bob Ducsay,Amir Mokri,Monica Rottmeyer,Vic Armstrong,Nathan Abbot
Hunter x Hunter,tt2098220,2098220.0,24,"['Megumi Han', 'Issei Futamata', 'Mariya Ise', 'Cristina Valenzuela', 'Michael McConnohie', 'Erica Mendez', 'Erika Harlacher', 'Miyuki Sawashiro', 'Daisuke Namikawa', 'Matthew Mercer', 'Keiji Fujiwara', 'Keith Silverstein', 'Wataru Takagi', 'Tony Oliver', 'Ray Chase', 'Bill Rogers', 'Chisa Yokoyama', 'Noriko Hidaka', 'Kyle Hebert', 'Chris Hackney', 'Marc Diraison', 'Griffin Burns', 'Koki Uchiyama', 'Yuya Murakami', 'Mîna Tominaga', 'Dorothy Elias-Fahn', 'Miho Arakawa', 'David Vincent', 'Masaya Matsukaze', 'Rachael Lillis', 'Takuma Suzuki', 'Kenichiro Ohashi', 'Edward Bosco', 'Janice Kawaye', 'Abby Trott', 'Joe Thomas', 'Kikuko Inoue', 'Robbie Daymond', 'Tom Bauer', 'Cedric L. Williams', 'Greg Chun', 'Ichirô Nagai', 'John Snyder', 'Shûichi Ikeda', 'Naoya Uchida', 'Rena Maeda', 'Mamoru Miyano', 'Hidenobu Kiuchi', 'Ichitarô Ai', 'Lucien Dodge']","['Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy']",['jp'],"['en', 'ja']",TV-14,,,,8.9,39674.0,,Hunter x Hunter,,,,,,Madhouse,Nippon Television Network,,,,,,
Winnie the Pooh,tt1449283,1449283.0,63,"['John Cleese', 'Jim Cummings', 'Bud Luckey', 'Craig Ferguson', 'Jack Boulter', 'Travis Oates', 'Kristen Anderson-Lopez', 'Wyatt Dean Hall', 'Tom Kenny', 'Huell Howser', 'Lisa Linder', 'Robert Lopez']","['Animation', 'Adventure', 'Comedy', 'Family', 'Musical']",['us'],['en'],G,30000000.0,"$7,857,076, 17 Jul 2011",50145607.0,7.2,20191.0,06 Apr 2011 (Belgium),Winnie the Pooh,Stephen J. Anderson,Stephen J. Anderson,Clio Chiang,Kathleen M. Courtney,Peter Del Vecho,Walt Disney Pictures,Walt Disney Animation Studios,Kristen Anderson-Lopez,Lisa Linder,Julio Macat,Cheryl Carasik,,Yogesh Badhe
Fright Night,tt1438176,1438176.0,106,"['Anton Yelchin', 'Colin Farrell', 'Toni Collette', 'David Tennant', 'Imogen Poots', 'Christopher Mintz-Plasse', 'Dave Franco', 'Reid Ewing', 'Will Denton', 'Sandra Vergara', 'Emily Montague', 'Chris Sarandon', 'Gracie Gillam', 'Chelsea Tavares', 'Lisa Loeb', 'Brian Huskey', 'Mike Miller', 'Marya Beauvais', 'Kent Kirkpatrick', 'Arron Shiver', 'Rick A. Ortega Jr.', 'Charlie B. Brown', 'Rebekah Wiggins', 'Eb Lottimer', 'Liezl Carstens', 'Laura Aidan', 'Alma Sisneros', 'Bruce Holmes', 'Chris Ranney', 'Lovie Johnson', 'Jerry G. Angelo', 'Tait Fletcher', 'Kevin Christopher Brown', 'Jesse Pickett', 'William H. Burton Jr.', 'Bonnie Morgan', 'Michelle Waterson', 'Paula Francis', 'Dave Courvoisier', 'Gilbert Almario', 'Phil Arnold', 'Fileena Bahris', 'Dee Bradley Baker', 'Will D. Barnes III', 'Meagan Billy', 'Tina Borek', 'Eriks Chase', 'Damion Cruzz', 'Stephanie Marie Delgado', 'Anna Lee DeSaulniers', 'Amanda Fresquez', 'Julia Gallegos', 'Christina Gopal', 'Alessandra Hayden', 'Drew Hollowell', 'Benny James', 'Bob Kaye', 'Rodger Larance', 'Mary Elizabeth Pohl', 'David T. Quan', 'Ashlee Renz-Hotz', 'Kelly Ruble', 'Ryan Schaefer', 'Sandi K Shelby', 'Monika Spruch', 'Michael R. Tafoya', 'Viola Valdez', 'Kevin Wester']","['Comedy', 'Horror']",['us'],['en'],R,30000000.0,"$8,114,388, 21 Aug 2011",,6.3,96022.0,18 Aug 2011 (Australia),Fright Night,Craig Gillespie,Marti Noxon,,Ray Angelic,Josh Bratman,DreamWorks,Reliance Entertainment,Ramin Djawadi,Tatiana S. Riegel,Javier Aguirresarobe,K.C. Fox,Kevin Black,David Alexander
Straw Dogs,tt0999913,999913.0,110,"['James Marsden', 'Kate Bosworth', 'Alexander Skarsgård', 'James Woods', 'Dominic Purcell', 'Rhys Coiro', 'Billy Lush', 'Laz Alonso', 'Willa Holland', 'Walton Goggins', 'Anson Mount', 'Drew Powell', 'Kristen Shaw', 'Megan Adelle', 'Jessica Dockrey', 'Randall Newsome', 'Tim J. Smith', 'Richard Folmer', 'Wanetah Walmsley', 'Clyde Heun', 'Rod Lurie', 'Kelly Holleman', 'Grayson Capps', 'Tommy MacLuckie', 'Josh Kerin', 'John Milham', 'Kristin Kelly', 'Charlotte Biggs', 'Kara Riann Brown', 'Kimberly Lynn Campbell', 'Tracy Chappell', 'M Charlotte Cheatham', 'Marian Drey', 'Timothy Hoffman', 'Jessie Jalee', ""Jeremy John's"", 'Jamie Jones', 'Sara Kenley', 'Rick LaCour', 'Tiffany Lang', 'Billy Leo', 'James Paul', 'Jeffrey Stirl', 'Joanna Theobalds', 'Shane Tucker']","['Action', 'Drama', 'Thriller']",['us'],['en'],R,25000000.0,"$5,123,760, 18 Sep 2011",,5.8,31656.0,16 Sep 2011 (Canada),Straw Dogs,Rod Lurie,Rod Lurie,,Gilbert Dumontet,George Flynn,Screen Gems,Battleplan Productions,Larry Groupé,Sarah Boyd,Alik Sakharov,Kristin Bicksler,George Bott,Akemi Abe
The Guard,tt1540133,1540133.0,96,"['Ronan Collins', 'Paraic Nialand', 'John Patrick Beirne', ""Liam O'Conghaile"", 'Christopher Kilmartin', 'Brendan Gleeson', 'Rory Keenan', 'Declan Mannlen', 'Laurence Kinlan', 'Michael Og Lane', 'Liam Cunningham', 'Owen Sharpe', 'Fionnula Flanagan', 'Wale Ojo', 'Don Cheadle', ""Mark O'Halloran"", 'Gary Lydon', 'Darren Healy', 'Conor Moloney', 'Laura Hitchings', 'David Wilmot', 'Mark Strong', 'Katarina Cas', 'Sarah Greene', 'Dominique McElligott', 'Sharon Kearney', 'David Pearse', 'Dermot Healy', 'Eamonn Olwill', 'Yuyang Sheilds', 'Pat Shortt', 'Gay McKeon', 'Mary Corcoran', 'Colm Gannon', 'Johnny McDonagh', 'Dominick Hewitt', 'Giedrius Nagys', 'Gary Robinson', 'Alan Bates']","['Comedy', 'Crime', 'Thriller']",['ie'],"['en', 'ga']",R,6000000.0,,,7.3,76467.0,07 Jul 2011 (Ireland),The Guard,John Michael McDonagh,John Michael McDonagh,,Sarah Arnott,Paul Brett,Reprisal Films,Element Pictures,Calexico,Chris Gill,Larry Smith,,Mike Hayes,Jim Duggan
The Eagle,tt1034389,1034389.0,114,"['Channing Tatum', 'István Göz', 'Bence Gerö', ""Denis O'Hare"", 'Paul Ritter', 'Zsolt László', 'Julian Lewis Jones', 'Aladár Laklóth', 'Marcell Miklós', 'Bálint Magyar', 'Ferenc Pataki', 'Bálint Antal', 'Lukács Bicskey', 'Douglas Henshall', 'James Hayes', 'Donald Sutherland', 'András Faragó', 'Jamie Bell', 'Simon Paisley Day', 'Dakin Matthews', 'Pip Carter', ""Ben O'Brien"", 'Róbert Bánlaki', 'Brian Gleeson', 'Jon Campling', 'Mark Strong', 'Tahar Rahim', 'Thomas Henry', 'Ned Dennehy', 'Ralph Aiken', 'Granville Saxton', 'Walter van Dyk', 'Jean-Marc Chautems', 'Robin Atkin Downes', 'Drew Kuzma', 'Seb Muirhead', 'Allan Sutherland']","['Action', 'Adventure', 'Drama', 'History', 'War']","['gb', 'us']","['en', 'gd']",PG-13,25000000.0,,,6.2,62518.0,09 Feb 2011 (Kazakhstan),The Eagle,Kevin Macdonald,Jeremy Brock,,Caroline Hewitt,Duncan Kenworthy,Focus Features,Film4,Atli Örvarsson,Justine Wright,Anthony Dod Mantle,Rebecca Alleway,Joey Coughlin,Fiorenza Bagnariol
This Must Be the Place,tt1440345,1440345.0,118,"['Sean Penn', 'Olwen Fouéré', 'Eve Hewson', 'Johnny Ward', 'Sam Keeley', ""Danielle O'Brien"", ""Margaret O'Reilly"", 'Frances McDormand', ""Mairin O'Donovan"", 'Simon Delaney', ""Jer O'Leary"", 'Master Deng', 'Jane Myers', 'Heather Fedyk', 'Iris Frank', 'Andrea Mellos', 'Sarab Kamoo', 'Sarah Carroll', 'Liron Levo', 'Bill Hoffinger', 'David Byrne', 'Fritz Weaver', 'Judd Hirsch', 'Bern Cohen', 'Shea Whigham', 'Nana Ansah', 'Patricia Hicok', 'Gordon Michaels', 'Joyce Van Patten', 'Madge Levinson', 'Dave Krieger', 'Frank Adakai', 'Kerry Condon', 'Seth Adkins', 'Stafford Douglas', 'Grant Goodman', 'Suzanne Enslen', 'Boots Southerland', 'Davis Gloff', 'Ron Coden', 'Amy Julia Cheyfitz', 'Harry Dean Stanton', 'Heinz Lieven', 'Greg Trzaskoma', 'Saikat Ahamed', 'Robert Andrejev', ""Richard 'Rick' Bobier"", 'Wayne E. Brown', 'Peter Carey', 'Tim Craiger', 'Ed DeZevallos', 'Elli', 'Pennie-Marie Hawkins', 'Robert Herrick', 'Jann Hight', 'Julia Ho', 'Christopher W. Hodshire', 'Kef Lee', 'Emma Lock', 'Ross Mac Mahon', 'Gerry McCann', 'Jessica McLarty', 'Ralph H. Meyer', 'Antonio Monda', 'Ricky Neeble', ""Gavin O'Connor"", 'Barack Obama', 'Jamie Oliver', 'Sarah Palin', 'Nancy Lynette Parker', 'Bronwyn Reed', 'Brian Rohe', 'Mark C. Schwarz', 'Joseph Smith', 'Alan Stefan', 'Inga R. Wilson']","['Comedy', 'Drama']","['it', 'fr', 'ie']","['en', 'he']",R,,,,6.7,30998.0,24 Aug 2011 (France),This Must Be the Place,Paolo Sorrentino,Paolo Sorrentino,Umberto Contarello,Ron Bozman,Noëlette Buckley,Indigo Film,Lucky Red,David Byrne,Cristiano Travaglioli,Luca Bigazzi,,Davide Bertoni,Loris De Carolis
Arthur,tt1334512,1334512.0,110,"['Russell Brand', 'Helen Mirren', 'Greta Gerwig', 'Jennifer Garner', 'Geraldine James', 'Luis Guzmán', 'Nick Nolte', 'Christina Jacquelyn Calph', 'Murphy Guyer', 'José Ramón Rosario', 'John Hodgman', 'Scott Adsit', 'Evander Holyfield', 'Peter Van Wagner', 'Robert Clohessy', 'Ed Herbstman', 'Jared Parker', 'Tom Toner', 'Richard Bekins', 'Matt Malloy', 'Nigel Barker', 'Tuffy Questell', 'Sara Chase', 'Ali Reza', 'Kimberly Pauley', 'Brian McElhaney', 'Charlie Hewson', 'Peter Brouwer', 'Saul Stein', 'Stink Fisher', 'Debbie Lee Jones', 'Pascal Yen-Pfister', 'Dylan Clark Marshall', 'Steve Rosen', 'Leslie Hendrix', 'George Feaster', 'Ed Jewett', 'John Carrafa', 'Jennie Eisenhower', 'Sean Tarjyoto', 'Pamela Stewart', 'Skai Jackson', 'Tori Feinstein', 'Jackson Nicoll', 'Caden Draper', 'Jase Draper', 'Devin Almonte', 'Anthony Amodeo', 'Marc Alan Austen', 'Kayla Ayler-McCormick', 'Ryan Barratt', 'Joseph Basile', 'Anne Bergstedt', 'Denny Dale Bess', 'Jasmine Hope Bloch', 'Peter Bond', 'David Boston', 'Roger Brenner', 'Jackie Brown', 'Farouk Chakwa', 'Jamie Choi', 'Andrew Justin Cohen', 'Marmee Regine Cosico', 'Avery Davis', 'Donato DeMarinis', 'Chelsey Donn', 'Dawn Douglas', 'Elli', 'Dennis Jay Funny', 'Melody Garcia', 'Kathryn Gerhardt', 'Takako Haywood', 'Gina Hernandez', 'Rosemary Howard', 'Khafre King', 'Tony Kost', 'Anna Kuchma', 'Dylan Lauren', 'Geoff Lee', 'Ron Maestri', 'John Mancini', 'Jeremy McLain', ""Scott O'Grady"", 'Toshiko Onizawa', 'Evan Elise Owens', 'Frederick Piña', 'Julianna Rigoglioso', 'Ilana Seagull', 'Madisyn Shipman', 'Robert Shulman', 'Tommy Sokolis', 'Nate Steinwachs', 'James Tortora', 'Joseph Urban', 'Anthony Urillo', 'Uzimann', 'Barbara Vincent', 'Sylvia Ward', 'Alex Ziwak']","['Comedy', 'Romance']",['us'],['en'],PG-13,40000000.0,"$12,222,756, 10 Apr 2011",45735397.0,5.7,49521.0,08 Apr 2011 (Canada),Arthur,Jason Winer,Peter Baynham,,Chris Bender,Russell Brand,Warner Bros.,"Morra, Brezner, Steinberg and Tenenbaum Entertainment",Theodore Shapiro,Brent White,Uta Briesewitz,Chryss Hionis,Andrew Fiero,Sean W. Adair
Absentia,tt1610996,1610996.0,87,"['Catherine Parker', 'Courtney Bell', 'Dave Levine', 'Justin Gordon', 'Morgan Peter Brown', 'James Flanagan', 'Doug Jones', 'Scott Graham', 'Connie Ventress', 'Ian Gregory', 'Mark Dumonski', 'Elisabeth Adwin', 'Erin Cipolletti', 'Jonathan Fisher', 'Brandon Valley Jones', 'Joseph Mendoza', 'Brian Normoyle', 'Damon Pfaff', 'Camron Robertson', 'Peter Wylie', 'Yvonne Agnew', 'Michelle Magdalena Burnham', 'Lisa Ferris', 'Ashkan Golara', 'Joe Hollow', 'Dana-Beth Lasker', 'Cecie McClelland', 'Markcus Parker', 'James Sullivan', 'Zak Jeffries', 'Natalie Roers']","['Drama', 'Horror', 'Mystery']",['us'],['en'],R,70000.0,,,5.8,15890.0,11 Apr 2013 (Argentina),Absentia,Mike Flanagan,Mike Flanagan,,Courtney Bell,Morgan Peter Brown,FallBack Plan Productions,Blue Dot Productions,Ryan David Leack,Mike Flanagan,Rustin Cerveny,,Drew Shirley,Mark Sniffen
The Good Doctor,tt1582271,1582271.0,91,"['Orlando Bloom', 'Riley Keough', 'Taraji P. Henson', 'Rob Morrow', 'Michael Peña', 'Troy Garity', 'Molly Price', 'Wade Williams', 'Sorel Carradine', 'Gary Carlos Cervantes', 'Monique Gabriela Curnen', 'Jean St. James', 'Jason Axinn', 'Ken Bahn', 'Elaine Carroll', 'Michelle Cates', 'David Clennon', 'Dan Etheridge', 'Courtney Ford', 'Marin Hinkle', 'Rick Irwin', 'Izumi', 'Nathan Keyes', 'James Kimball', 'Jonathan King', 'Sarah Lancaster', 'Julia Lebedev', 'Tina Martin', 'Laura McDavid', 'Julie McKinnon', 'Randall Park', 'Evan Peters', 'Elizabeth Saydah', 'Gary Sievers', 'J.K. Simmons', 'Noel Thurman', 'Lucia Walters', 'Alex Zubarev', 'Darby Kennerly', 'Tom Poole']","['Drama', 'Thriller']",['us'],['en'],PG-13,6000000.0,"$3,180, 02 Sep 2012",,5.5,6116.0,21 Jan 2012 (Japan),The Good Doctor,Lance Daly,John Enbom,,Orlando Bloom,Dan Etheridge,Code Red,Fastnet Films,Brian Byrne,Emer Reynolds,Yaron Orbach,Ron Olsen,Joel Jeffrey Nishimine,Des Carey
